CPT,D,D,D,D,CNSTR
39158417,39158407,39158405,39158409,39158410,39158435
39158415,39158407,39158409,39158410,39158411,39158435
39158433,39158397,39158399,39158407,39158409,39158435
39158415,39158405,39158409,39158411,39158413,39158435
39158427,39158395,39158405,39158402,39158409,39158435
39158416,39158407,39158405,39158409,39158413,39158435
39158429,39158395,39158407,39158405,39158402,39158435
39158429,39158398,39158399,39158407,39158413,39158435
39158415,39158407,39158405,39158413,39158414,39158435
39158433,39158395,39158399,39158409,39158411,39158435
