P,P,C,1B,2B,3B,SS,OF,OF,OF
39204241,39203788,39204001,39203875,39204056,39204059,39203833,39203806,39204046,39204061
39204241,39203788,39204001,39203875,39204056,39204059,39203820,39203807,39204046,39203964
39204241,39204162,39204001,39203858,39204056,39204059,39203833,39203806,39204046,39203964
39204241,39203788,39204001,39203961,39204056,39204059,39203810,39203806,39204046,39203964
39204241,39203788,39203808,39203826,39204056,39204059,39203912,39204046,39204061,39203964
39204241,39204162,39204001,39203826,39204056,39204059,39203912,39203806,39204046,39204061
39204241,39204162,39204001,39203961,39204056,39204059,39203912,39203807,39203817,39204046
39204241,39203788,39204001,39203826,39204056,39204059,39203833,39203817,39204046,39203964
39204241,39203788,39204001,39203981,39204056,39204059,39203912,39203807,39203812,39204046
39204241,39204162,39204051,39203875,39204056,39204059,39203912,39203806,39204046,39203964
