Lineup,Position,Name,Team,Opponent,Salary,Avg Points
1,P,Joe Boyle,TB,KC,7500,27.45
1,P,Zack Wheeler,PHI,HOU,10300,24.47
1,C,Reese McGuire,CHC,STL,2400,6.92
1,1B,Yandy Diaz,TB,KC,4000,8.25
1,2B,Luke Keaschall,MIN,SEA,3500,11.14
1,3B,Noelvi Marte,CIN,NYY,3300,9.37
1,SS,Jeremy Pena,HOU,PHI,4900,9.15
1,OF,Aaron Judge,NYY,CIN,6700,12.27
1,OF,Austin Hays,CIN,NYY,3900,9.71
1,OF,Jonny DeLuca,TB,KC,3200,7.67
2,P,Joe Boyle,TB,KC,7500,27.45
2,P,Zack Wheeler,PHI,HOU,10300,24.47
2,C,Reese McGuire,CHC,STL,2400,6.92
2,1B,Yandy Diaz,TB,KC,4000,8.25
2,2B,Luke Keaschall,MIN,SEA,3500,11.14
2,3B,Noelvi Marte,CIN,NYY,3300,9.37
2,SS,Bobby Witt Jr.,KC,TB,5500,9.28
2,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17
2,OF,Austin Hays,CIN,NYY,3900,9.71
2,OF,Dominic Canzone,SEA,MIN,3000,7.64
3,P,Joe Boyle,TB,KC,7500,27.45
3,P,Hunter Brown,HOU,PHI,10500,24.47
3,C,Reese McGuire,CHC,STL,2400,6.92
3,1B,Willson Contreras,STL,CHC,4200,7.77
3,2B,Luke Keaschall,MIN,SEA,3500,11.14
3,3B,Noelvi Marte,CIN,NYY,3300,9.37
3,SS,Jeremy Pena,HOU,PHI,4900,9.15
3,OF,Aaron Judge,NYY,CIN,6700,12.27
3,OF,Austin Hays,CIN,NYY,3900,9.71
3,OF,Dominic Canzone,SEA,MIN,3000,7.64
4,P,Joe Boyle,TB,KC,7500,27.45
4,P,Zack Wheeler,PHI,HOU,10300,24.47
4,C,Reese McGuire,CHC,STL,2400,6.92
4,1B,Ty France,MIN,SEA,3000,6.51
4,2B,Luke Keaschall,MIN,SEA,3500,11.14
4,3B,Noelvi Marte,CIN,NYY,3300,9.37
4,SS,Elly De La Cruz,CIN,NYY,6300,10.39
4,OF,Aaron Judge,NYY,CIN,6700,12.27
4,OF,Austin Hays,CIN,NYY,3900,9.71
4,OF,Dominic Canzone,SEA,MIN,3000,7.64
5,P,Joe Boyle,TB,KC,7500,27.45
5,P,Zack Wheeler,PHI,HOU,10300,24.47
5,C,Cal Raleigh,SEA,MIN,6500,11.57
5,1B,Pete Alonso,NYM,ATL,5200,9.29
5,2B,Luke Keaschall,MIN,SEA,3500,11.14
5,3B,Noelvi Marte,CIN,NYY,3300,9.37
5,SS,Masyn Winn,STL,CHC,3600,7.43
5,OF,Austin Hays,CIN,NYY,3900,9.71
5,OF,Jonny DeLuca,TB,KC,3200,7.67
5,OF,Dominic Canzone,SEA,MIN,3000,7.64
6,P,Joe Boyle,TB,KC,7500,27.45
6,P,Hunter Brown,HOU,PHI,10500,24.47
6,C,Reese McGuire,CHC,STL,2400,6.92
6,1B,Pete Alonso,NYM,ATL,5200,9.29
6,2B,Luke Keaschall,MIN,SEA,3500,11.14
6,3B,Noelvi Marte,CIN,NYY,3300,9.37
6,SS,Masyn Winn,STL,CHC,3600,7.43
6,OF,Aaron Judge,NYY,CIN,6700,12.27
6,OF,Austin Hays,CIN,NYY,3900,9.71
6,OF,Jonny DeLuca,TB,KC,3200,7.67
7,P,Joe Boyle,TB,KC,7500,27.45
7,P,Hunter Brown,HOU,PHI,10500,24.47
7,C,Reese McGuire,CHC,STL,2400,6.92
7,1B,Ty France,MIN,SEA,3000,6.51
7,2B,Luke Keaschall,MIN,SEA,3500,11.14
7,3B,Noelvi Marte,CIN,NYY,3300,9.37
7,SS,Masyn Winn,STL,CHC,3600,7.43
7,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17
7,OF,Byron Buxton,MIN,SEA,5700,10.53
7,OF,Austin Hays,CIN,NYY,3900,9.71
8,P,Joe Boyle,TB,KC,7500,27.45
8,P,Zack Wheeler,PHI,HOU,10300,24.47
8,C,Reese McGuire,CHC,STL,2400,6.92
8,1B,Pete Alonso,NYM,ATL,5200,9.29
8,2B,Luke Keaschall,MIN,SEA,3500,11.14
8,3B,Noelvi Marte,CIN,NYY,3300,9.37
8,SS,Jeremy Pena,HOU,PHI,4900,9.15
8,OF,Byron Buxton,MIN,SEA,5700,10.53
8,OF,Austin Hays,CIN,NYY,3900,9.71
8,OF,Dominic Canzone,SEA,MIN,3000,7.64
9,P,Joe Boyle,TB,KC,7500,27.45
9,P,Zack Wheeler,PHI,HOU,10300,24.47
9,C,Reese McGuire,CHC,STL,2400,6.92
9,1B,Spencer Steer,CIN,NYY,2800,6.22
9,2B,Luke Keaschall,MIN,SEA,3500,11.14
9,3B,Noelvi Marte,CIN,NYY,3300,9.37
9,SS,Masyn Winn,STL,CHC,3600,7.43
9,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17
