Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Napheesa Collier (39243304),Napheesa Collier,39243304,CPT,18000,IND@MIN 07/01/2025 08:00PM ET,MIN,47.04
PG/SG,Caitlin Clark (39243305),Caitlin Clark,39243305,CPT,16500,IND@MIN 07/01/2025 08:00PM ET,IND,41.58
SF/PF,Aliyah Boston (39243306),Aliyah Boston,39243306,CPT,14400,IND@MIN 07/01/2025 08:00PM ET,IND,35.48
PG/SG,Kelsey Mitchell (39243307),Kelsey Mitchell,39243307,CPT,13500,IND@MIN 07/01/2025 08:00PM ET,IND,27.94
SF/PF,Alanna Smith (39243308),Alanna Smith,39243308,CPT,12600,IND@MIN 07/01/2025 08:00PM ET,MIN,28.6
SF/PF,Napheesa Collier (39243282),Napheesa Collier,39243282,UTIL,12000,IND@MIN 07/01/2025 08:00PM ET,MIN,47.04
PG/SG,Courtney Williams (39243309),Courtney Williams,39243309,CPT,12000,IND@MIN 07/01/2025 08:00PM ET,MIN,30.80
SF/PF,Natasha Howard (39243310),Natasha Howard,39243310,CPT,11100,IND@MIN 07/01/2025 08:00PM ET,IND,22.56
PG/SG,Caitlin Clark (39243283),Caitlin Clark,39243283,UTIL,11000,IND@MIN 07/01/2025 08:00PM ET,IND,41.58
PG/SG,Kayla McBride (39243311),Kayla McBride,39243311,CPT,10500,IND@MIN 07/01/2025 08:00PM ET,MIN,27.27
SF/PF,Aliyah Boston (39243284),Aliyah Boston,39243284,UTIL,9600,IND@MIN 07/01/2025 08:00PM ET,IND,35.48
SF/PF,Jessica Shepard (39243312),Jessica Shepard,39243312,CPT,9600,IND@MIN 07/01/2025 08:00PM ET,MIN,20.92
PG/SG,Kelsey Mitchell (39243285),Kelsey Mitchell,39243285,UTIL,9000,IND@MIN 07/01/2025 08:00PM ET,IND,27.94
SF/PF,Bridget Carleton (39243313),Bridget Carleton,39243313,CPT,9000,IND@MIN 07/01/2025 08:00PM ET,MIN,17.22
SF/PF,Alanna Smith (39243286),Alanna Smith,39243286,UTIL,8400,IND@MIN 07/01/2025 08:00PM ET,MIN,28.6
PG/SG,Lexie Hull (39243314),Lexie Hull,39243314,CPT,8100,IND@MIN 07/01/2025 08:00PM ET,IND,20.67
PG/SG,Courtney Williams (39243287),Courtney Williams,39243287,UTIL,8000,IND@MIN 07/01/2025 08:00PM ET,MIN,30.80
PG/SG,Aari McDonald (39243315),Aari McDonald,39243315,CPT,7500,IND@MIN 07/01/2025 08:00PM ET,IND,22.6
SF/PF,Natasha Howard (39243288),Natasha Howard,39243288,UTIL,7400,IND@MIN 07/01/2025 08:00PM ET,IND,22.56
PG/SG,Kayla McBride (39243289),Kayla McBride,39243289,UTIL,7000,IND@MIN 07/01/2025 08:00PM ET,MIN,27.27
PG/SG,Sophie Cunningham (39243316),Sophie Cunningham,39243316,CPT,6600,IND@MIN 07/01/2025 08:00PM ET,IND,14.02
SF/PF,Jessica Shepard (39243290),Jessica Shepard,39243290,UTIL,6400,IND@MIN 07/01/2025 08:00PM ET,MIN,20.92
SF/PF,Bridget Carleton (39243291),Bridget Carleton,39243291,UTIL,6000,IND@MIN 07/01/2025 08:00PM ET,MIN,17.22
PG/SG,Natisha Hiedeman (39243317),Natisha Hiedeman,39243317,CPT,6000,IND@MIN 07/01/2025 08:00PM ET,MIN,17.16
PG/SG,Lexie Hull (39243292),Lexie Hull,39243292,UTIL,5400,IND@MIN 07/01/2025 08:00PM ET,IND,20.67
