Player,Team,Pos,Injury,Status,Est. Return
Alaska Abney,CLE,P,Undisclosed,7-Day IL,Subscribers Only
Dane Acker,TEX,P,Undisclosed,7-Day IL,Subscribers Only
Josh Adamczewski,MIL,2B,Back,7-Day IL,Subscribers Only
Luke Adams,MIL,1B,Shoulder,7-Day IL,Subscribers Only
Mason Adams,CWS,P,Elbow,60-Day IL,Subscribers Only
Julian Aguiar,CIN,P,Elbow,60-Day IL,Subscribers Only
Alexander Albertus,CWS,3B,Lower Leg,7-Day IL,Subscribers Only
Jerson Alejandro,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Yency Almonte,CHC,P,Shoulder,60-Day IL,Subscribers Only
Jose Alvarado,PHI,P,Suspension,Suspension,Subscribers Only
Yordan Alvarez,HOU,OF,Hand,10-Day IL,Subscribers Only
Adbert Alzolay,NYM,P,Elbow,60-Day IL,Subscribers Only
Miguel Amaya,CHC,C,Oblique,10-Day IL,Subscribers Only
Miguel Andujar,ATH,OF,Oblique,10-Day IL,Subscribers Only
Mack Anglin,KC,P,Undisclosed,60-Day IL,Subscribers Only
Tejay Antone,CIN,P,Elbow,60-Day IL,Subscribers Only
Michael Arias,NYY,P,Undisclosed,7-Day IL,Subscribers Only
Justin Armbruester,BAL,P,Lat,7-Day IL,Subscribers Only
Spencer Arrighetti,HOU,P,Thumb,60-Day IL,Subscribers Only
Graham Ashcraft,CIN,P,Groin,15-Day IL,Subscribers Only
Javier Assad,CHC,P,Oblique,60-Day IL,Subscribers Only
Jose Atencio,WSH,P,Undisclosed,60-Day IL,Subscribers Only
Luinder Avila,KC,P,Shoulder,7-Day IL,Subscribers Only
Ji Hwan Bae,PIT,OF,Undisclosed,7-Day IL,Subscribers Only
Thomas Balboni,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Edgar Barclay,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Franklin Barreto,BAL,2B,Undisclosed,60-Day IL,Subscribers Only
Brandon Barriera,TOR,P,Elbow,60-Day IL,Subscribers Only
Brady Basso,ATH,P,Shoulder,60-Day IL,Subscribers Only
Angel Bastardo,TOR,P,Elbow,60-Day IL,Subscribers Only
Aldrin Batista,CWS,P,Elbow,7-Day IL,Subscribers Only
Travis Bazzana,CLE,2B,Oblique,7-Day IL,Subscribers Only
Octavio Becerra,LAD,P,Undisclosed,7-Day IL,Subscribers Only
Ryan Bergert,SD,P,Forearm,Day-To-Day,Subscribers Only
Prelander Berroa,CWS,P,Elbow,60-Day IL,Subscribers Only
Shane Bieber,CLE,P,Elbow,60-Day IL,Subscribers Only
Brandon Bielak,FA,P,Undisclosed,Out,Subscribers Only
Hunter Bigge,TB,P,Lat,15-Day IL,Subscribers Only
Brandon Birdsell,CHC,P,Lat,60-Day IL,Subscribers Only
Nick Bitsko,TB,P,Undisclosed,60-Day IL,Subscribers Only
Ronel Blanco,HOU,P,Elbow,60-Day IL,Subscribers Only
Tony Blanco,PIT,1B,Leg,60-Day IL,Subscribers Only
Ryan Bliss,SEA,2B,Biceps,60-Day IL,Subscribers Only
Jack Blomgren,HOU,SS,Undisclosed,7-Day IL,Subscribers Only
Jake Bloss,TOR,P,Elbow,60-Day IL,Subscribers Only
Paul Bonzagni,TEX,P,Elbow,60-Day IL,Subscribers Only
Cam Booser,CWS,P,Shoulder,15-Day IL,Subscribers Only
Ryan Borucki,PIT,P,Back,15-Day IL,Subscribers Only
TT Bowens,BAL,1B,Undisclosed,7-Day IL,Subscribers Only
Cooper Bowman,ATH,2B,Undisclosed,7-Day IL,Subscribers Only
Justin Boyd,CLE,OF,Undisclosed,60-Day IL,Subscribers Only
Enrique Bradfield,BAL,OF,Hamstring,Day-To-Day,Subscribers Only
Cody Bradford,TEX,P,Elbow,60-Day IL,Subscribers Only
Kyle Bradish,BAL,P,Elbow,60-Day IL,Subscribers Only
Ryan Brady,KC,P,Undisclosed,60-Day IL,Subscribers Only
Jack Brannigan,PIT,SS,Undisclosed,7-Day IL,Subscribers Only
Rob Brantly,MIA,C,Lat,60-Day IL,Subscribers Only
Alex Bregman,BOS,3B,Quadriceps,10-Day IL,Subscribers Only
Will Brennan,CLE,OF,Elbow,10-Day IL,Subscribers Only
Trace Bright,BAL,P,Forearm,7-Day IL,Subscribers Only
Jhony Brito,SD,P,Forearm,60-Day IL,Subscribers Only
T.J. Brock,TOR,P,Elbow,60-Day IL,Subscribers Only
Joey Broughton,MIL,P,Elbow,60-Day IL,Subscribers Only
Seth Brown,ATH,OF,Elbow,10-Day IL,Subscribers Only
Eric Brown,MIL,SS,Undisclosed,7-Day IL,Subscribers Only
Kris Bryant,COL,DH,Back,60-Day IL,Subscribers Only
Jacob Buchberger,STL,3B,Undisclosed,60-Day IL,Subscribers Only
J.B. Bukauskas,MIL,P,Lat,60-Day IL,Subscribers Only
Nick Burdi,BOS,P,Foot,15-Day IL,Subscribers Only
Jake Burger,TEX,1B,Oblique,10-Day IL,Subscribers Only
Corbin Burnes,ARI,P,Elbow,60-Day IL,Subscribers Only
Tanner Burns,CLE,P,Oblique,7-Day IL,Subscribers Only
Ryan Burr,TOR,P,Shoulder,60-Day IL,Subscribers Only
Ky Bush,CWS,P,Elbow,60-Day IL,Subscribers Only
Starlyn Caba,MIA,SS,Thumb,60-Day IL,Subscribers Only
Oswaldo Cabrera,NYY,3B,Ankle,60-Day IL,Subscribers Only
Ricky Cabrera,CIN,3B,Undisclosed,60-Day IL,Subscribers Only
Tyler Callihan,CIN,2B,Forearm,60-Day IL,Subscribers Only
Justin Campbell,CLE,P,Elbow,60-Day IL,Subscribers Only
Jonathan Cannon,CWS,P,Back,15-Day IL,Subscribers Only
Matt Canterino,MIN,P,Shoulder,7-Day IL,Subscribers Only
Juan Carela,CWS,P,Elbow,Out,Subscribers Only
Corbin Carroll,ARI,OF,Wrist,10-Day IL,Subscribers Only
Triston Casas,BOS,1B,Knee,60-Day IL,Subscribers Only
Eiberson Castellano,PHI,P,Undisclosed,7-Day IL,Subscribers Only
Luis Castillo,MIL,OF,Undisclosed,7-Day IL,Subscribers Only
Luis F. Castillo,BAL,P,Undisclosed,7-Day IL,Subscribers Only
Kevyn Castillo,LAA,OF,Undisclosed,7-Day IL,Subscribers Only
Miguel Castro,CWS,P,Knee,60-Day IL,Subscribers Only
Willi Castro,MIN,OF,Wrist,Day-To-Day,Subscribers Only
Logan Cerny,HOU,OF,Undisclosed,7-Day IL,Subscribers Only
Moises Chace,PHI,P,Elbow,60-Day IL,Subscribers Only
Javier Chacon,SD,P,Undisclosed,60-Day IL,Subscribers Only
Andrew Chafin,WSH,P,Hamstring,15-Day IL,Subscribers Only
Matt Chapman,SF,3B,Hand,10-Day IL,Subscribers Only
Marc Church,TEX,P,Elbow,7-Day IL,Subscribers Only
Brandon Clarke,BOS,P,Finger,Out,Subscribers Only
Alex Cobb,DET,P,Hip,60-Day IL,Subscribers Only
Adisyn Coffey,CWS,P,Undisclosed,7-Day IL,Subscribers Only
Gerrit Cole,NYY,P,Elbow,60-Day IL,Subscribers Only
Carson Coleman,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Griffin Conine,MIA,OF,Shoulder,60-Day IL,Subscribers Only
Alex Cook,TB,P,Undisclosed,60-Day IL,Subscribers Only
Connor Cooke,TOR,P,Undisclosed,60-Day IL,Subscribers Only
Jose Corniell,TEX,P,Elbow,60-Day IL,Subscribers Only
Nestor Cortes,MIL,P,Elbow,60-Day IL,Subscribers Only
Magdiel Cotto,PIT,P,Undisclosed,60-Day IL,Subscribers Only
